scale_group,scale,instance_idx,variant,policy_ablation,satellites,tasks,num_prefs,hv,igd,igd_norm,hv_gap_to_full_percent,seconds,seconds_per_pref,avg_scheduled,points,nd_points,reference_hv
Medium,s10_n200,4,w/o preference conditioning,final_pair_no_preference,10,200,50,0.3241560612910827,0.1040296618341214,0.48762802715950876,27.93110434272439,3.5513994693756104,0.0710279893875122,69.0,50,1,0.4497863583654872
Medium,s10_n200,5,Full,final_pair_self_cross,10,200,50,0.4641454329640692,0.0,0.0,0.0,3.8344552516937256,0.07668910503387451,74.98,50,13,0.4641454329640692
Medium,s10_n200,5,w/o exact-oracle teacher,final_pair_self_cross,10,200,50,0.3669603091032661,0.07132968927053228,0.3417866049011036,20.938506976180125,3.4879136085510254,0.06975827217102051,66.52,50,10,0.4641454329640692
Medium,s10_n200,5,w/o trajectory-level labels,final_pair_self_cross,10,200,50,0.3701955589778983,0.08603957615952659,0.3798335511795839,20.241473321454357,3.680980682373047,0.07361961364746093,68.72,50,7,0.4641454329640692
Medium,s10_n200,5,w/o preference conditioning,final_pair_no_preference,10,200,50,0.3571216344332493,0.09788602139823074,0.4693083126624308,23.058246603302226,3.629640579223633,0.07259281158447266,74.0,50,1,0.4641454329640692
Medium,s10_n200,6,Full,final_pair_self_cross,10,200,50,0.45269026140315854,0.002566330120847662,0.010982453128224266,0.0,3.749757766723633,0.07499515533447265,73.64,50,11,0.45869281872929535
Medium,s10_n200,6,w/o exact-oracle teacher,final_pair_self_cross,10,200,50,0.3903511284725332,0.06027442056546505,0.3870931631073727,13.770813787201645,3.415945291519165,0.0683189058303833,63.9,50,9,0.45869281872929535
Medium,s10_n200,6,w/o trajectory-level labels,final_pair_self_cross,10,200,50,0.36436159502289966,0.0873380005095912,0.4677382357172329,19.51194313446801,3.6660144329071045,0.0733202886581421,66.98,50,10,0.45869281872929535
Medium,s10_n200,6,w/o preference conditioning,final_pair_no_preference,10,200,50,0.3716790801059234,0.10363211959576843,0.6160475765891723,17.895499020927232,3.625286340713501,0.07250572681427002,72.0,50,1,0.45869281872929535
Medium,s10_n200,7,Full,final_pair_self_cross,10,200,50,0.4736054804548503,0.0,0.0,0.0,3.678701877593994,0.07357403755187988,71.92,50,15,0.4736054804548503
Medium,s10_n200,7,w/o exact-oracle teacher,final_pair_self_cross,10,200,50,0.3603018621182612,0.10577286804274476,0.3911554838974592,23.923629056777887,3.543532133102417,0.07087064266204834,63.0,50,12,0.4736054804548503
Medium,s10_n200,7,w/o trajectory-level labels,final_pair_self_cross,10,200,50,0.35115091381887803,0.1228694036285878,0.432229619874007,25.8558170649476,3.3834681510925293,0.06766936302185059,63.54,50,7,0.4736054804548503
Medium,s10_n200,7,w/o preference conditioning,final_pair_no_preference,10,200,50,0.35180196395212,0.10853285629343316,0.41955739848956675,25.718350299863573,3.372760534286499,0.06745521068572997,68.0,50,1,0.4736054804548503
Medium,s10_n200,8,Full,final_pair_self_cross,10,200,50,0.47879056157896516,0.0,0.0,0.0,4.586760997772217,0.09173521995544434,75.64,50,13,0.47879056157896516
Medium,s10_n200,8,w/o exact-oracle teacher,final_pair_self_cross,10,200,50,0.37910171624272937,0.08461133770876242,0.385231331179698,20.820971283869905,3.70867657661438,0.0741735315322876,64.54,50,11,0.47879056157896516
Medium,s10_n200,8,w/o trajectory-level labels,final_pair_self_cross,10,200,50,0.4148090086312515,0.06576788162354473,0.30222618947370633,13.363160864473608,4.150100946426392,0.08300201892852783,69.54,50,13,0.47879056157896516
Medium,s10_n200,8,w/o preference conditioning,final_pair_no_preference,10,200,50,0.36557684181857375,0.08056178513263279,0.39434991913849615,23.645770999961428,3.8873915672302246,0.07774783134460449,75.0,50,1,0.47879056157896516
Medium,s10_n200,9,Full,final_pair_self_cross,10,200,50,0.457755569665346,0.0,0.0,0.0,3.9279773235321045,0.07855954647064209,71.42,50,17,0.457755569665346
Medium,s10_n200,9,w/o exact-oracle teacher,final_pair_self_cross,10,200,50,0.36287395908124864,0.06978116458077017,0.28834203057927077,20.727570972749273,3.6837191581726074,0.07367438316345215,62.98,50,10,0.457755569665346
Medium,s10_n200,9,w/o trajectory-level labels,final_pair_self_cross,10,200,50,0.39619649878568775,0.05740316138778985,0.1936364998873894,13.448022254467068,3.4827964305877686,0.06965592861175537,69.12,50,10,0.457755569665346
Medium,s10_n200,9,w/o preference conditioning,final_pair_no_preference,10,200,50,0.33223271836698365,0.16534708751695804,0.48158237321109143,27.421370621471418,3.6321041584014893,0.07264208316802978,73.0,50,1,0.457755569665346
Medium,s10_n300,0,Full,final_pair_self_cross,10,300,50,0.33410021479418384,0.0,0.0,0.0,5.875285625457764,0.11750571250915527,78.26,50,12,0.33410021479418384
Medium,s10_n300,0,w/o exact-oracle teacher,final_pair_self_cross,10,300,50,0.243327691327629,0.08093354334651076,0.5970628017052036,27.169250256984583,5.092802047729492,0.10185604095458985,65.16,50,10,0.33410021479418384
Medium,s10_n300,0,w/o trajectory-level labels,final_pair_self_cross,10,300,50,0.24842372883470581,0.0792273473879865,0.5279889479262547,25.643948182510872,4.931320428848267,0.09862640857696534,64.32,50,8,0.33410021479418384
Medium,s10_n300,0,w/o preference conditioning,final_pair_no_preference,10,300,50,0.23528552137471398,0.12412989715336897,0.7689916297549266,29.576363331685613,5.334591865539551,0.10669183731079102,75.0,50,1,0.33410021479418384
Medium,s10_n300,1,Full,final_pair_self_cross,10,300,50,0.34261921574134047,0.0053204321984206444,0.017225764448542645,0.0,5.141361474990845,0.10282722949981689,72.2,50,12,0.3428718583783096
Medium,s10_n300,1,w/o exact-oracle teacher,final_pair_self_cross,10,300,50,0.260024920032451,0.07958616021165506,0.33710522020771094,24.10673188022351,4.7734808921813965,0.09546961784362792,63.74,50,5,0.3428718583783096
