scale,instance_idx,pref_id,w1,w2,satellite_id,task_id,start,end,duration,priority,is_emergency,original_scheduled
s8_n400,9,2,0.5,0.5,7,147,1845.0,1862.0,17.0,9.025962909008253,False,False
s8_n400,9,2,0.5,0.5,7,110,1872.5312732696534,1887.5312732696534,15.0,9.620954205335174,False,False
s8_n400,9,2,0.5,0.5,1,149,1389.0,1406.0,17.0,8.587721086498338,False,False
s8_n400,9,2,0.5,0.5,4,234,818.0,833.0,15.0,9.609480543280911,False,False
s8_n400,9,2,0.5,0.5,1,16,2298.0,2339.0,41.0,3.5186624445405505,False,True
s8_n400,9,2,0.5,0.5,3,23,1448.0,1471.0,23.0,9.774734476926028,False,False
s8_n400,9,2,0.5,0.5,3,171,1778.0,1793.0,15.0,9.925731469678077,False,False
s8_n400,9,2,0.5,0.5,3,14,1884.0,1899.0,15.0,8.935366993671323,False,False
s8_n400,9,2,0.5,0.5,3,206,1905.1886573791503,1921.1886573791503,16.0,9.142073676938024,False,False
s8_n400,9,2,0.5,0.5,0,237,885.0,902.0,17.0,7.370381231329392,False,False
s8_n400,9,2,0.5,0.5,1,254,2425.0,2465.0,40.0,2.685484860850811,False,True
s8_n400,9,2,0.5,0.5,7,288,1887.5936998069287,1906.5936998069287,19.0,8.728568608102293,False,False
s8_n400,9,2,0.5,0.5,7,55,3097.0,3119.0,22.0,9.002806335202258,False,False
s8_n400,9,2,0.5,0.5,7,338,3125.5182247161865,3148.5182247161865,23.0,9.702848906425384,True,False
s8_n400,9,2,0.5,0.5,5,227,1283.0,1329.0,46.0,2.507541491419536,False,True
s8_n400,9,2,0.5,0.5,5,280,1369.0,1390.0,21.0,8.208674857726106,False,False
s8_n400,9,2,0.5,0.5,5,326,2312.0,2327.0,15.0,8.693522248568346,True,False
s8_n400,9,2,0.5,0.5,5,341,2468.0,2491.0,23.0,8.00463245732983,True,False
s8_n400,9,2,0.5,0.5,5,336,2572.0,2591.0,19.0,8.189876573815905,True,False
s8_n400,9,2,0.5,0.5,5,317,3006.0,3028.0,22.0,9.393573768186917,True,False
s8_n400,9,2,0.5,0.5,5,242,3430.0,3448.0,18.0,7.341398939687819,False,False
s8_n400,9,2,0.5,0.5,7,306,3157.7806911468506,3173.7806911468506,16.0,6.307375877284279,True,False
s8_n400,9,2,0.5,0.5,6,107,1851.0,1867.0,16.0,5.063131710430637,False,False
s8_n400,9,3,0.25,0.75,2,36,81.0,99.0,18.0,2.1450106090126884,False,True
s8_n400,9,3,0.25,0.75,2,76,162.0,220.0,58.0,5.7551639012094435,False,True
s8_n400,9,3,0.25,0.75,6,46,73.0,118.0,45.0,7.206099624076302,False,True
s8_n400,9,3,0.25,0.75,6,49,249.0,265.0,16.0,1.8785918722133936,False,True
s8_n400,9,3,0.25,0.75,2,239,226.86559467315675,260.86559467315675,34.0,6.46133264175788,False,True
s8_n400,9,3,0.25,0.75,3,256,228.0,286.0,58.0,6.269520568490604,False,True
s8_n400,9,3,0.25,0.75,5,235,330.0,372.0,42.0,8.733156516788577,False,True
s8_n400,9,3,0.25,0.75,2,178,267.1866897583008,316.1866897583008,49.0,6.417029896171362,False,True
s8_n400,9,3,0.25,0.75,3,207,292.8496753692627,310.8496753692627,18.0,6.102634737950009,False,True
s8_n400,9,3,0.25,0.75,0,255,161.0,195.0,34.0,5.229878542798582,False,True
s8_n400,9,3,0.25,0.75,1,166,132.0,183.0,51.0,7.45615577079997,False,True
s8_n400,9,3,0.25,0.75,4,60,338.0,353.0,15.0,1.4445812616133877,False,True
s8_n400,9,3,0.25,0.75,2,84,413.0,446.0,33.0,2.300292392952773,False,True
s8_n400,9,3,0.25,0.75,1,274,189.14740371704102,240.14740371704102,51.0,9.226802889777801,False,True
s8_n400,9,3,0.25,0.75,5,79,373.3149457931519,425.3149457931519,52.0,7.696915507067875,False,True
s8_n400,9,3,0.25,0.75,1,80,259.0,284.0,25.0,7.9700800430536685,False,True
s8_n400,9,3,0.25,0.75,7,159,22.0,44.0,22.0,6.308681465319681,False,True
s8_n400,9,3,0.25,0.75,0,228,218.0,263.0,45.0,2.457898777487911,False,True
s8_n400,9,3,0.25,0.75,4,229,355.99714756011963,391.99714756011963,36.0,8.968169956163319,False,True
s8_n400,9,3,0.25,0.75,7,104,294.0,350.0,56.0,4.833307445141376,False,True
s8_n400,9,3,0.25,0.75,7,62,360.28178520202636,376.28178520202636,16.0,4.459982938933999,False,True
s8_n400,9,3,0.25,0.75,5,251,430.6160669326782,481.6160669326782,51.0,3.992791752555502,False,True
s8_n400,9,3,0.25,0.75,6,148,272.4359331558431,329.4359331558431,57.0,7.8271309787453855,False,True
s8_n400,9,3,0.25,0.75,6,50,341.82458920645473,385.82458920645473,44.0,3.0268150659673863,False,True
s8_n400,9,3,0.25,0.75,4,224,395.9680366516113,427.9680366516113,32.0,3.2769396315346824,False,True
s8_n400,9,3,0.25,0.75,0,66,295.0,331.0,36.0,4.204260783859674,False,True
