scale,instance_idx,seed,method,satellites,tasks,hv,igd,igd_norm,coverage,seconds,points,nd_points,avg_scheduled,reference_hv
s3_n100,8,20260701,MONP,3,100,0.1872598779922919,0.04422254864902722,0.12863801343913753,0.037037037037037035,3.453655958175659,50,8,21.24,0.1872598779922919
s3_n100,8,20260701,NSGA-II,3,100,0.21149079631529424,0.012732029895358236,0.037035925852786,0.18518518518518517,37.72762060165405,16,16,,0.1872598779922919
s3_n100,8,20260701,KDPCS,3,100,0.1708745820676344,0.042633043867821394,0.12401433742649717,0.0,0.11003255844116211,50,8,23.9,0.1872598779922919
s3_n100,8,20260701,SPEA2,3,100,0.23447582034700845,0.021840135513197873,0.06353029690705386,0.0,43.867027759552,12,12,,0.1872598779922919
s3_n100,9,20260701,IBEA,3,100,0.19371606174280892,0.007052423790564074,0.013000741032915545,0.4411764705882353,56.88455891609192,20,20,,0.16505741668621612
s3_n100,9,20260701,MOEA/D,3,100,0.1861488621757091,0.011960405865806245,0.0220483260688272,0.14705882352941177,26.407142877578735,23,23,,0.16505741668621612
s3_n100,9,20260701,MONP,3,100,0.16505741668621612,0.04290091940530725,0.07908539813058663,0.058823529411764705,3.187950611114502,50,10,18.68,0.16505741668621612
s3_n100,9,20260701,NSGA-II,3,100,0.17680829427682784,0.009535863051075316,0.017578819670231748,0.2647058823529412,35.59160876274109,30,30,,0.16505741668621612
s3_n100,9,20260701,KDPCS,3,100,0.16505741668621607,0.025928599358847344,0.047797894117141936,0.11764705882352941,0.09344649314880371,50,8,20.1,0.16505741668621612
s3_n100,9,20260701,SPEA2,3,100,0.17870611006060028,0.02027114350467676,0.037368696914949845,0.0,43.035348415374756,28,28,,0.16505741668621612
s3_n150,0,20260701,IBEA,3,150,0.15364455704809324,0.03211245196144423,0.05664453692578357,0.0,44.91492438316345,13,13,,0.11892328506317382
s3_n150,0,20260701,MOEA/D,3,150,0.11892328506317382,0.06612576331962505,0.11664208160128511,0.26666666666666666,20.71941089630127,10,10,,0.11892328506317382
s3_n150,0,20260701,MONP,3,150,0.11892328506317382,0.01637408263252851,0.028882949499393476,0.26666666666666666,3.152738332748413,50,11,22.36,0.11892328506317382
