num_prefs,scale,instance_idx,seed,front_type,point_idx,f1,f2
150,s3_n100,0,20260701,all,3,0.33734510177737315,0.6548914512365673
150,s3_n100,0,20260701,all,4,0.33734510177737315,0.6548914512365673
150,s3_n100,0,20260701,all,5,0.33734510177737315,0.6548914512365673
150,s3_n100,0,20260701,all,6,0.3395676912207148,0.6548914512365673
150,s3_n100,0,20260701,all,7,0.3395676912207148,0.6548914512365673
150,s3_n100,0,20260701,all,8,0.3395676912207148,0.6548914512365673
150,s3_n100,0,20260701,all,9,0.3395676912207148,0.6548914512365673
150,s3_n100,0,20260701,all,10,0.3395676912207148,0.6548914512365673
150,s3_n100,0,20260701,all,11,0.3395676912207148,0.6548914512365673
150,s3_n100,0,20260701,all,12,0.3395676912207148,0.6548914512365673
150,s3_n100,0,20260701,all,13,0.3395676912207147,0.6548914512365673
150,s3_n100,0,20260701,all,14,0.34115575983327073,0.7491510907305889
150,s3_n100,0,20260701,all,15,0.3411557598332706,0.7491510907305889
150,s3_n100,0,20260701,all,16,0.34115575983327073,0.7491510907305889
150,s3_n100,0,20260701,all,17,0.3392020540973991,0.7938956641484112
150,s3_n100,0,20260701,all,18,0.3392020540973991,0.7938956641484112
150,s3_n100,0,20260701,all,19,0.3392020540973991,0.7938956641484112
150,s3_n100,0,20260701,all,20,0.3392020540973991,0.7938956641484112
150,s3_n100,0,20260701,all,21,0.339202054097399,0.7938956641484113
150,s3_n100,0,20260701,all,22,0.339202054097399,0.7938956641484113
150,s3_n100,0,20260701,all,23,0.3392020540973991,0.7938956641484113
150,s3_n100,0,20260701,all,24,0.3392020540973991,0.7938956641484113
150,s3_n100,0,20260701,all,25,0.3392020540973991,0.7938956641484113
150,s3_n100,0,20260701,all,26,0.3392020540973991,0.7938956641484113
150,s3_n100,0,20260701,all,27,0.33920205409739906,0.7938956641484113
150,s3_n100,0,20260701,all,28,0.33920205409739906,0.7938956641484113
150,s3_n100,0,20260701,all,29,0.33920205409739906,0.7938956641484113
150,s3_n100,0,20260701,all,30,0.33489606134698463,0.7938956641484113
150,s3_n100,0,20260701,all,31,0.3274557357297535,0.8132159602897522
150,s3_n100,0,20260701,all,32,0.3274557357297535,0.8132159602897522
150,s3_n100,0,20260701,all,33,0.3274557357297535,0.8132159602897522
150,s3_n100,0,20260701,all,34,0.3274557357297535,0.8132159602897522
150,s3_n100,0,20260701,all,35,0.3274557357297535,0.8132159602897522
150,s3_n100,0,20260701,all,36,0.3274557357297535,0.8132159602897522
150,s3_n100,0,20260701,all,37,0.33376844862329635,0.8132159602897522
150,s3_n100,0,20260701,all,38,0.33376844862329635,0.8132159602897522
150,s3_n100,0,20260701,all,39,0.33376844862329635,0.8132159602897522
150,s3_n100,0,20260701,all,40,0.33376844862329635,0.8132159602897522
150,s3_n100,0,20260701,all,41,0.3271437143949846,0.8372712678552182
150,s3_n100,0,20260701,all,42,0.3271437143949846,0.8372712678552182
150,s3_n100,0,20260701,all,43,0.3271437143949846,0.8372712678552182
150,s3_n100,0,20260701,all,44,0.3271437143949846,0.8372712678552182
150,s3_n100,0,20260701,all,45,0.3271437143949846,0.8372712678552182
150,s3_n100,0,20260701,all,46,0.3271437143949846,0.8372712678552182
150,s3_n100,0,20260701,all,47,0.3173715520337335,0.8542420636698618
150,s3_n100,0,20260701,all,48,0.3173715520337335,0.8542420636698618
150,s3_n100,0,20260701,all,49,0.3173715520337335,0.8542420636698618
150,s3_n100,0,20260701,all,50,0.3173715520337335,0.8542420636698618
150,s3_n100,0,20260701,all,51,0.3173715520337335,0.8542420636698618
150,s3_n100,0,20260701,all,52,0.3173715520337335,0.8542420636698618
150,s3_n100,0,20260701,all,53,0.3173715520337335,0.8542420636698618
150,s3_n100,0,20260701,all,54,0.3173715520337335,0.8542420636698618
150,s3_n100,0,20260701,all,55,0.3173715520337335,0.8542420636698618
150,s3_n100,0,20260701,all,56,0.3084660550337359,0.8872033867994895
150,s3_n100,0,20260701,all,57,0.3084660550337359,0.8872033867994895
