num_prefs,scale,scale_group,instance_idx,seed,satellites,tasks,hv,nd_points,seconds,seconds_per_pref,avg_scheduled
200,s10_n300,medium,4,20260705,10,300,0.34306257472369417,27,3.1244592666625977,0.015622296333312989,77.25
20,s10_n300,medium,5,20260706,10,300,0.3542866053582112,15,0.3339982032775879,0.016699910163879395,77.45
50,s10_n300,medium,5,20260706,10,300,0.3564024308662456,20,0.7267110347747803,0.014534220695495606,77.42
100,s10_n300,medium,5,20260706,10,300,0.36120356961105127,21,1.5168635845184326,0.015168635845184327,77.59
150,s10_n300,medium,5,20260706,10,300,0.36592925709814805,26,2.4343814849853516,0.016229209899902345,77.52
200,s10_n300,medium,5,20260706,10,300,0.3668354876302621,30,3.1569454669952393,0.015784727334976198,77.565
20,s10_n300,medium,6,20260707,10,300,0.34221807325208214,9,0.3279998302459717,0.016399991512298585,75.85
50,s10_n300,medium,6,20260707,10,300,0.346723416585031,23,0.7322137355804443,0.014644274711608887,75.56
100,s10_n300,medium,6,20260707,10,300,0.3500121259685201,27,1.545520305633545,0.01545520305633545,75.53
150,s10_n300,medium,6,20260707,10,300,0.35239601875999116,30,2.411817789077759,0.016078785260518393,75.56
200,s10_n300,medium,6,20260707,10,300,0.3506796477332352,30,3.046678066253662,0.01523339033126831,75.545
20,s10_n300,medium,7,20260708,10,300,0.32951024264320294,11,0.31800389289855957,0.01590019464492798,72.8
50,s10_n300,medium,7,20260708,10,300,0.33514643668145927,19,0.7205860614776611,0.014411721229553223,72.96
100,s10_n300,medium,7,20260708,10,300,0.33907356453384174,28,1.4518146514892578,0.014518146514892577,72.87
150,s10_n300,medium,7,20260708,10,300,0.33953570016224077,27,2.255831718444824,0.015038878122965494,72.86
200,s10_n300,medium,7,20260708,10,300,0.33951180143026394,28,2.959030866622925,0.014795154333114624,72.86
20,s10_n300,medium,8,20260709,10,300,0.3657415526259209,12,0.3399980068206787,0.016999900341033936,78.85
50,s10_n300,medium,8,20260709,10,300,0.367804253338544,23,0.7645838260650635,0.01529167652130127,79.06
100,s10_n300,medium,8,20260709,10,300,0.368490019742053,27,1.6149203777313232,0.016149203777313232,79.15
150,s10_n300,medium,8,20260709,10,300,0.3687612374636674,28,2.3955955505371094,0.01597063700358073,79.16
200,s10_n300,medium,8,20260709,10,300,0.3688679694374709,28,3.2241179943084717,0.016120589971542358,79.17
20,s10_n300,medium,9,20260710,10,300,0.35349597409124817,14,0.3257138729095459,0.016285693645477294,78.1
50,s10_n300,medium,9,20260710,10,300,0.3614557045927441,21,0.7700498104095459,0.015400996208190918,78.4
100,s10_n300,medium,9,20260710,10,300,0.36266256698784216,24,1.597935438156128,0.01597935438156128,78.42
150,s10_n300,medium,9,20260710,10,300,0.36287885370286177,24,2.382951259613037,0.01588634173075358,78.35333333333334
200,s10_n300,medium,9,20260710,10,300,0.36307297967185614,28,3.2492403984069824,0.01624620199203491,78.39
20,s10_n400,medium,0,20260701,10,400,0.2465106142857257,11,0.33968353271484375,0.016984176635742188,69.35
50,s10_n400,medium,0,20260701,10,400,0.250338907288862,14,0.840484619140625,0.0168096923828125,68.96
