inst_idx,scale,instance_idx,seed,file,method,front_type,point_idx,f1,f2
,s3_n100,0,20260701,,KDPCS,nd,7,0.34115575983327073,0.7491510907305889
,s3_n100,0,20260701,,KDPCS,union_ref_nd,0,0.2755834062820288,0.9479628787624519
,s3_n100,0,20260701,,KDPCS,union_ref_nd,1,0.29881116608998326,0.9043049840414027
,s3_n100,0,20260701,,KDPCS,union_ref_nd,2,0.3109136374618391,0.8872033867994895
,s3_n100,0,20260701,,KDPCS,union_ref_nd,3,0.3173715520337335,0.8542420636698618
,s3_n100,0,20260701,,KDPCS,union_ref_nd,4,0.3271437143949846,0.8372712678552182
,s3_n100,0,20260701,,KDPCS,union_ref_nd,5,0.33376844862329635,0.8132159602897522
,s3_n100,0,20260701,,KDPCS,union_ref_nd,6,0.3392020540973991,0.7938956641484112
,s3_n100,0,20260701,,KDPCS,union_ref_nd,7,0.34115575983327073,0.7491510907305889
,s3_n150,0,20260701,,KDPCS,all,0,0.2387585766818113,0.3785249330093866
,s3_n150,0,20260701,,KDPCS,all,1,0.2387585766818113,0.3785249330093866
,s3_n150,0,20260701,,KDPCS,all,2,0.2371142714336024,0.4470264577434249
,s3_n150,0,20260701,,KDPCS,all,3,0.231610036614948,0.5421231361751845
,s3_n150,0,20260701,,KDPCS,all,4,0.22216950955873274,0.7322137052351246
,s3_n150,0,20260701,,KDPCS,all,5,0.22216950955873274,0.7322137052351246
,s3_n150,0,20260701,,KDPCS,all,6,0.22555181438456945,0.7322137052351246
,s3_n150,0,20260701,,KDPCS,all,7,0.22570443958779388,0.7322137052351246
,s3_n150,0,20260701,,KDPCS,all,8,0.22570443958779388,0.7322137052351246
,s3_n150,0,20260701,,KDPCS,all,9,0.20286223436177875,0.8237655169974536
,s3_n150,0,20260701,,KDPCS,all,10,0.20505074222521114,0.8237655169974536
,s3_n150,0,20260701,,KDPCS,all,11,0.20505074222521114,0.8237655169974536
,s3_n150,0,20260701,,KDPCS,all,12,0.20505074222521114,0.8237655169974536
,s3_n150,0,20260701,,KDPCS,all,13,0.1994937668613129,0.8642260375684323
,s3_n150,0,20260701,,KDPCS,all,14,0.20140331700404376,0.8642260375684323
,s3_n150,0,20260701,,KDPCS,all,15,0.20140331700404376,0.8642260375684323
,s3_n150,0,20260701,,KDPCS,all,16,0.20140331700404376,0.8642260375684323
,s3_n150,0,20260701,,KDPCS,all,17,0.20140331700404376,0.8642260375684323
,s3_n150,0,20260701,,KDPCS,all,18,0.18802321918749607,0.9186084222281028
,s3_n150,0,20260701,,KDPCS,all,19,0.18802321918749607,0.9186084222281028
,s3_n150,0,20260701,,KDPCS,all,20,0.18802321918749607,0.9186084222281028
,s3_n150,0,20260701,,KDPCS,all,21,0.18802321918749607,0.9186084222281028
,s3_n150,0,20260701,,KDPCS,all,22,0.18802321918749607,0.9186084222281028
,s3_n150,0,20260701,,KDPCS,all,23,0.18802321918749607,0.9186084222281028
,s3_n150,0,20260701,,KDPCS,all,24,0.18802321918749607,0.9186084222281028
,s3_n150,0,20260701,,KDPCS,all,25,0.17278323257368752,0.9548833622777025
,s3_n150,0,20260701,,KDPCS,all,26,0.17278323257368752,0.9548833622777025
,s3_n150,0,20260701,,KDPCS,all,27,0.17278323257368752,0.9548833622777025
,s3_n150,0,20260701,,KDPCS,all,28,0.17278323257368752,0.9548833622777025
,s3_n150,0,20260701,,KDPCS,all,29,0.17278323257368752,0.9548833622777025
,s3_n150,0,20260701,,KDPCS,all,30,0.1583531197524591,0.968875648926598
,s3_n150,0,20260701,,KDPCS,all,31,0.1583531197524591,0.968875648926598
,s3_n150,0,20260701,,KDPCS,all,32,0.1583531197524591,0.968875648926598
,s3_n150,0,20260701,,KDPCS,all,33,0.13530946289348356,0.982339726145015
,s3_n150,0,20260701,,KDPCS,all,34,0.13530946289348356,0.982339726145015
,s3_n150,0,20260701,,KDPCS,all,35,0.13070762531061708,0.982339726145015
,s3_n150,0,20260701,,KDPCS,all,36,0.13070762531061708,0.982339726145015
,s3_n150,0,20260701,,KDPCS,all,37,0.13070762531061708,0.982339726145015
,s3_n150,0,20260701,,KDPCS,all,38,0.13070762531061708,0.982339726145015
,s3_n150,0,20260701,,KDPCS,all,39,0.13070762531061708,0.982339726145015
